Keywords,Subtypes,Types,ToD
(wanted|needed|required|latest|upgrade|purchased).*(big.*| fast.*|better|small.*|modern|improve.*)|(big.*|fast.*|better|small.*|modern|improve.*).*(wanted|needed|required|latest|upgrade|purchased),Upgrade_Upgrade,Upgrade,Triggers_Upgrade
replac.*|switch.*,Replace_Replace,Replace,Triggers_Replace
(first device|first visit|first-time.*|firstime.*| firsttime.*|first product |first purchase |I am new |I am a new.*)|(purchase.*|brought|buy.*|bought.*),FirstTimeBuyer_FirstTimeBuyer,FirstTimeBuyer,Triggers_FirstTimeBuyer
birthday present|birthday gift,Gift_Birthday,Gift,Triggers_Gift_Birthday
wedding present|wedding gift,Gift_Wedding,Gift,Triggers_Gift_Wedding
christmas present |xmas present |christmas gift|xmas gift,Gift_Christmas,Gift,Triggers_Gift_Christmas
gift.*|.*gift|a present ,Gift_Others,Gift,Triggers_Gift_Others
deal.*|promo.*|rebate.*|sale.*|sweepstake.*|coupon.*| cupon.*|cuopon.*|discount.*| offer.*,Marketing-Sale_Marketing-Sale,Marketing-Sale,Triggers_Marketing-Sale
(Whirlpool|KitchenAid|Dylan|Maytag|Sony|Philips|Phillips|Hotpoint|indesit|Amana|Apple|iPhone|iPad|iPod|Jenn-Air|Gladiator|Hotpoint|Roper|GE|Samsung|JBL|JustBeLoud|Just Be Loud|Kenmore|Bosch|LG|Broan|Beko|Dacor|zanussi|Bush|hoover|Panasonic|smeg|Electrolux|neff|Candy|aeg|Sharp|Miele|baumatic|Siemens|New World|belling|Russell Hobbs|Monogram|newworld|Haier|LEC|Summit Appliance|Magic|NuTone|Daewoo|fridgemaster|Essentials|Golden|swan|DeLonghi|De Longhi|Servis|Stoves|electra|Premier|Oster|Danby|Fisher|AKDY|Hisens|InSinkErator|Zephyr|Kenwood|LOGIK|Avanti|Thermador|Waste King|Morphy Richards|RCA|Cookworks|Grundig|leisure|Magic Chef|White Knight|Viking|Wolf|Arietta|Emerson|Hamilton Beach|Presenza|Sunbeam|this brand)|(trust.*|recommend.*|love|satisfied|reliab.*|confident|genuine|depend.*),Brand_Brand,Brand,Drivers_Brand
(inexpensive|value for money|affordable|low price|vfm|great price|amazing price|excellent price|low cost|amazing value|a steal|peanuts|good price|awesome price|economical|nominal|cheaply available)|(energy.*|.*power.*|.*saving),Cost_Cost,Cost,Drivers_Cost
(recommend.*|suggest.*|propose.*|endors.*|advocate.*)|(friend.*|representative|sales.*|family|cousin|someone|expert),Recommendation_Recommendation,Recommendation,Drivers_Recommendation
(innovat.*|technology)|(idea.?|addon.?|add-on.?|feature.*|attribute.*|characteristic.*|aspect|element),Innovation_Innovation,Innovation,Drivers_Innovation
ad.?advert.*|commercial.?|comercial.?|tv spot.?|sponsor.*|on tv| on television|on the tv|on the television,Marketing-Ads_TV,Marketing-Ads,Drivers_Marketing-Ads_TV
radio spot.?|on radio|on the radio,Marketing-Ads_Radio,Marketing-Ads,Drivers_Marketing-Ads_Radio
billboard.?|bilboard.?|bill board.?|signage|plastered outside|plastered outdoor|plastered all over|signs|banner.*|poster.*,Marketing-Ads_Outdoor,Marketing-Ads,Drivers_Marketing-Ads_Outdoor
ad.?advert.*|marketing|mktg|target audience.?,Marketing-Ads_Others,Marketing-Ads,Drivers_Marketing-Ads_Others
